recorded at,gps at,latitude,longitude,altitude,quality
2020-04-26 20:26:51.799000+00:00,2020-04-26T20:26:52.000Z,37.916688,-85.656428833,184.1,3
2020-04-26 20:41:51.915000+00:00,2020-04-26T20:41:52.000Z,37.916658,-85.656575,155.6,3
2020-04-26 20:56:52.329000+00:00,2020-04-26T20:56:52.000Z,37.916655166999995,-85.656317833,174.9,3
2020-04-26 21:11:52.712000+00:00,2020-04-26T21:11:53.000Z,37.916714833,-85.65643166699999,181.8,3
2020-04-26 21:26:52.870000+00:00,2020-04-26T21:26:53.000Z,37.916820833,-85.656503833,162.5,3
2020-04-26 21:41:53.046000+00:00,2020-04-26T21:41:53.000Z,37.916692,-85.656384167,188.4,3
2020-04-26 21:56:53.657000+00:00,2020-04-26T21:56:53.000Z,37.916728000000006,-85.656548667,162.5,3
2020-04-26 22:11:53.729000+00:00,2020-04-26T22:11:54.000Z,37.9167265,-85.656483667,184.5,3
2020-04-26 22:26:53.856000+00:00,2020-04-26T22:26:54.000Z,37.916735667,-85.656537833,174.6,3
2020-04-26 22:41:54.026000+00:00,2020-04-26T22:41:54.000Z,37.916694,-85.6564785,167.6,3
2020-04-26 22:56:54.552000+00:00,2020-04-26T22:56:54.000Z,37.916700333,-85.656519167,160.0,3
2020-04-26 23:11:54.767000+00:00,2020-04-26T23:11:55.000Z,37.916752333000005,-85.656395667,171.1,3
2020-04-26 23:26:54.912000+00:00,2020-04-26T23:26:55.000Z,37.916764167,-85.656459833,189.9,3
2020-04-26 23:41:55.173000+00:00,2020-04-26T23:41:55.000Z,37.916727,-85.656450333,189.3,3
2020-04-26 23:56:55.729000+00:00,2020-04-26T23:56:55.000Z,37.916689833,-85.656394167,195.0,3
2020-04-27 00:11:55.833000+00:00,2020-04-27T00:11:56.000Z,37.9167275,-85.656458167,180.2,3
2020-04-27 00:26:56.171000+00:00,2020-04-27T00:26:56.000Z,37.916789167,-85.6564465,172.1,3
2020-04-27 00:41:56.658000+00:00,2020-04-27T00:41:56.000Z,37.916754667,-85.6565825,179.7,3
2020-04-27 00:56:56.776000+00:00,2020-04-27T00:56:57.000Z,37.916670333,-85.656527167,176.8,3
2020-04-27 01:11:56.928000+00:00,2020-04-27T01:11:57.000Z,37.916725667,-85.656446333,177.8,3
2020-04-27 01:26:57.371000+00:00,2020-04-27T01:26:57.000Z,37.916569167,-85.6564185,166.7,3
2020-04-27 01:41:57.714000+00:00,2020-04-27T01:41:58.000Z,37.916712167,-85.656462667,168.0,3
2020-04-27 01:56:57.914000+00:00,2020-04-27T01:56:58.000Z,37.916754833,-85.65645400000001,194.2,3
2020-04-27 02:11:58.360000+00:00,2020-04-27T02:11:58.000Z,37.916716333000004,-85.656504,180.4,3
2020-04-27 02:26:58.724000+00:00,2020-04-27T02:26:59.000Z,37.916782833,-85.656533333,183.5,3
2020-04-27 02:41:58.877000+00:00,2020-04-27T02:41:59.000Z,37.916789666999996,-85.656577833,195.3,3
